Location,Date,Duration,Operation Type,Officers Deployed,Rate,Total Stops,Searches (No Further Action),Searches (Arrested),Searches (Col4),Searches (Col5),Hit Rate %,Outcome A,Outcome B,Outcome C,Footfall / Value
"High St North, East Ham",08/01/25,4hr47m,Crime Hotspot,15095,0.64,10,10,0,0,0,0%,4,3,3,9780
"Green St, Newham",08/01/25,5hr37m,Crime Hotspot,15095,0.64,6,6,0,0,0,0%,3,3,0,8480
"Powis St, Woolwich",10/01/25,6hr27m,Crime Hotspot,15133,0.64,14,14,0,0,0,0%,5,3,6,15480
Camberwell Green,10/01/25,5hr58m,Crime Hotspot,15133,0.64,4,4,0,0,0,0%,3,0,1,3975
"Rye Lane, Peckham",14/01/25,6hr20m,Crime Hotspot,15177,0.64,12,11,1,0,0,0%,4,0,7,10245
Wembley Central,14/01/25,5hr22m,Crime Hotspot,15177,0.64,11,11,0,0,0,0%,7,2,2,13950
Streatham High Rd,16/01/25,5hr48m,Crime Hotspot,15172,0.64,2,2,0,0,0,0%,2,0,0,3890
Stratford B’way,16/01/25,6hr35m,Crime Hotspot,15172,0.64,24,23,1,0,0,0%,11,2,10,25335
"Town Sq, Walthamstow",22/01/25,4hr22m,Crime Hotspot,14919,0.64,13,12,0,1,0,0.008%,6,1,5,12120
Walworth Rd,22/01/25,5h45m,Crime Hotspot,14919,0.64,3,3,0,0,0,0%,1,1,1,5200
"Powis St, Woolwich",24/01/25,6h13m,Crime Hotspot,14966,0.64,11,11,0,0,0,0%,6,0,5,15711
"High St North, East Ham",24/01/25,6h03m,Crime Hotspot,14966,0.64,13,13,0,0,0,0%,4,2,7,17265
Wembley Central,28/01/25,5h17m,Crime Hotspot,15158,0.64,9,9,0,0,0,0%,6,1,2,9990
Kilburn High Rd,28/01/25,6h09m,Crime Hotspot,15158,0.64,15,15,0,0,0,0%,9,0,6,9581
Stratford B’way,30/01/25,6h18m,Crime Hotspot,15135,0.64,16,15,1,0,0,0%,3,2,10,21050
Leyton,30/01/25,4h42m,Crime Hotspot,15135,0.64,5,5,0,0,0,0%,0,3,2,5645
"South St, Romford",04/02/25,6h08m,Crime Hotspot,16174,0.64,16,16,0,0,0,0%,5,5,6,13110
Clapham Junc,04/02/25,6h22m,Crime Hotspot,16174,0.64,6,6,0,0,0,0%,2,1,3,10625
Dagenham Heathway,06/02/25,5h51m,Crime Hotspot,16234,0.64,11,10,0,1,0,0.008%,3,2,5,12660
"High St, Ilford",06/02/25,6h05m,Crime Hotspot,16234,0.64,9,9,0,0,0,0%,3,1,5,19733
"High St, Sutton",11/02/25,6h06m,Crime Hotspot,16300,0.64,7,7,0,0,0,0%,2,3,2,14430
Shepherds Bush Green,11/02/25,5h50m,Crime Hotspot,16300,0.64,8,8,0,0,0,0%,4,2,2,17310
Barking,13/02/25,5h42m,Crime Hotspot,16310,0.64,13,13,0,0,0,0%,10,0,3,13695
Oxford St,13/02/25,4h24m,Crime Hotspot,16310,0.64,12,12,0,0,0,0%,6,0,6,29025
Hammersmith Broadway,19/02/25,5h52m,Crime Hotspot,16364,0.64,13,13,0,0,0,0%,4,1,8,21940
"Clarence St, Kingston",19/02/25,5h51m,Crime Hotspot,16364,0.64,9,9,0,0,0,0%,3,2,4,17850
"Westfield, Shepherds Bush",21/02/25,5h57m,Crime Hotspot,16314,0.64,6,6,0,0,0,0%,5,1,0,30305
"High St, Ilford",21/02/25,4h57m,Crime Hotspot,16314,0.64,19,19,0,0,0,0%,8,1,10,16485
Oxford Circus,25/02/25,5h21m,Crime Hotspot,16204,0.64,14,12,2,0,0,0%,5,2,5,32160
Tooting B’Way,25/02/25,6h21m,Crime Hotspot,16204,0.64,9,9,0,0,0,0%,3,1,5,16380
